text,labels
", ...",anger
!,anger|fear|surprise
* So get up out of your bed,anger
A confession that you hired [PERSON] ... and are responsible for my father's murder .,anger|sadness
A dead man has one half - hour to raise his roll outside and get back in the game .,anger
A guy that's talking about he's gonna solve all your problems .,anger
A guy who was a pain in the neck even before I carried his stuff .,anger
"A hundred of these are produced every day and sent to sweatshops where urban slaves prepare this poison for our friends , our loved ones , our children .",anger|disgust
A lady wouldn't work for this outfit .,anger
A little dicey doing a background on an FBI agent .,anger
A little restraint ?,anger
A little rush ?,anger
"A lost decade , but it was worth it to make your father pay for my loss .",anger
A lot of junk all right ...,anger
A lot of people are going to pay for this night .,anger
A lot of you incumbents will be in danger of losing your seats .,anger
A man is going to die .,anger|sadness
A map's no good in the outback !,anger
"A perfect place to lose anybody , but this little doll's our cover story .",anger
A traitor !,anger|disgust
A woman who drinks is bad enough and I will not stand for a woman cursing and blaspheming God .,anger|disgust
About time !,anger
Absolute disregard to not show up .,anger
"Acknowledge , over .",anger
"Acts of homicide and cannibalism reported through the afternoon are contributable , at least in part , to these reactivated bodies .",anger|sadness
"[PERSON] , I don't think it'd be so bad if I taught him how to throw a few ...",anger
"[PERSON] , what did I do ?",anger
"[PERSON] , where's the kid ?",anger
"After that , I don't care if you've found the Holy Grail .",anger
"Ah , for fuck's sake , mate .",anger
Ah ! - You should listen to your brother .,anger|surprise
Ahem . Father brophy was very disturbed .,anger|sadness
Ain't much you can do about us .,anger
Ain't nobody in the world gonna drive this except me .,anger
"[PERSON] , will you let me finish ?",anger
"All dead , you mean !",anger
All happened on your watch .,anger|disgust
All I asked you is where the hell [PERSON] is .,anger
All I can charge him with is riding on a train . They're gonna walk .,anger
"All I know is that I'd like to meet a member of the judiciary or a member of Congress that thinks that this situation , the status quo is satisfactory .",anger|disgust
All I want to do is make things as difficult as possible .,anger
"All right , I will !",anger
"All right , next time I hear it , I am taking it away .",anger
"All right , not now , but you need to hear this .",anger
"All right , now , send that woman and her young ' uns out !",anger
"All right , [LOCATION] , that's enough .",anger
"All right , what is it if I may ask , You do want to do ?",anger
All right . I'll talk to [PERSON] .,anger
All right . I've heard enough . I've heard enough .,anger|disgust
All that Latino macho shit .,anger
All the officers were disloyal .,anger|disgust|sadness|surprise
All this talk's just wasting time .,anger
"All those bottles , of sizes different , completely in the wrong order ...",anger
All those guns and violence ...,anger|disgust|fear|sadness
All you have to do ... is point her out and look the other way .,anger|disgust|surprise
"All : Ohh , shit .",anger|fear
"[PERSON] , what have you done my little sister ?",anger
"Alright , have it any way you want !",anger|disgust
"Alright , knock it off !",anger
Altitude !,anger
Altitude ? - Altitude . You want some altitude ?,anger
Am I okay ? Everybody's worried sick about you .,anger
Amateur .,anger|disgust
An executive order ...,anger
"An ... an accident ? Easy , [PERSON] , easy . Watch the rug .",anger|fear|surprise
"And actresses are treated like I hate to use the word , but , shit .",anger|disgust|fear|sadness
And all that crap .,anger
"And [PERSON] , she won't help me to solve them .",anger
"And don't bother sending a bill , either !",anger
"And don't try anything funny , cos you know what you'll get .",anger
"And don't waste none of his time , because he ain't staying around long .",anger
And he waded in there with a lead pipe and he saved your ass and now you're going to deny him over his dead body ?,anger
And how about translators ?,anger
And how is that different than all the times you risked me ?,anger
And I ain't gonna repeat what he said .,anger
And I can't get started .,anger
And I dangled it in front of him and ripped it away .,anger|disgust|surprise
And I don't care whether you go down with him or not .,anger
And I don't share my husband with anyone !,anger
"And I hate the way you drive , and I hate your stinking whiskey breath .",anger
And I hate these fucking doughnuts .,anger|disgust
And I stormed out .,anger
