text,label
But you're lying .,disgust
I didn't know you were married .,surprise
"All right , you big bastard , come on .",disgust
How are you going to stop them ?,fear
No one wants to fly with you .,anger
I'm trying to find some peace with this and you're not helping .,anger
"Every time I run into you , you tell me whatever shady thing just went down was about the greater good or that it didn't happen , or this , that , or the other .",anger
It was awful !,sadness
"If I thought you were the slightest bit interested , I would .",anger
I thought you'd be old .,surprise
Does not this makes you laugh ?,surprise
"You wan na stay out of prison , right ?",anger
That's all you can do . You're right . You're absolutely right .,anger
"Well , that's very thoughtful of you .",joy
Yeah . Too good .,fear
Everyone was in mourning .,sadness
Who said I'm moving ?,surprise
I know you're crazy about me .,joy
You're the little guy that tried to make off with my queen .,disgust
"Oh , he's hurt !",fear
What's he got to do with this thing ?,anger
"Why , this was given to me by a very dear friend .",joy
"All right . - Okay . - It was nice to meet you , mark .",joy
You don't know me .,anger
Stop the whore .,disgust
"One , that I don't mess up as a manager .",fear
"Um , look , can we just forget last night ?",fear
This is paradise .,joy
Don't let her order you around .,anger
"Okay , we have , uh , chamomile , [PERSON] --",surprise
Absolutely hilarious .,joy
"The other day , you looked like you were still hurting .",sadness
"As if all my life I had lived in a dark place , and all at once the lights went on .",joy
Turn back the clock ?,anger
Completely out of our hands . - I don't accept that . - It's out of your hands .,sadness
I'd rather take a whipping than mend fences .,sadness
It's probably bullshit .,anger
Who gave you this idea ?,anger
And ten minutes later I got the call ... that the court had found in our favor .,joy
"[PERSON] , what the hell have you done to the coffee ?",disgust
He went after him like ...,fear
"This kid's cryin' , man .",sadness
Something's wrong .,fear
Come on . I want to dance .,joy
Here we go again .,fear
Drop that cannon .,anger
We're free .,joy
When I left her she was alive !,fear
Keep your men here !,anger
I won't be made a fool of .,anger
"[PERSON] , why are you so cross ?",surprise
Then you'll get rid of me .,fear
"A perfect place to lose anybody , but this little doll's our cover story .",anger
So that at least narrows down where they are right now .,joy
Now what makes you think I hate her ?,surprise
You and [PERSON] will be doing the dirty crockery alone this evening .,disgust
She really do all that dancing ?,surprise
It's time .,joy
She's on her way . - Fine .,anger
"So far , I hate it .",anger
"And what will you do then , [PERSON] ?",anger
It's like falling off a log .,sadness
Faster ? ! ...,fear
"She was a prisoner as I was , and he just heard that she's dead .",sadness
Don't leave without saying goodbye .,sadness
"They would be bugging your phone , surveilling you hours a day , and they wouldn't have tipped you by sending [PERSON] . I -",fear
I swear . I don't know where you get it from . But you !,anger
Why don't you kill him .,anger
"It was , uh , bound in human flesh , inked in blood .",surprise
"That night , we went dancing .",joy
Police are about to release a statement about the circumstances of her death ...,sadness
"He had a bad moustache , a lot of bad habits .",disgust
Poor darling .,sadness
"You one of them rare youths , yeah ?",surprise
What do you need money for ?,surprise
How did you learn to fight like that ?,surprise
We thought anybody can understand this .,anger
That soda shop was something .,joy
Do you believe that ?,surprise
Thank you . Good night .,joy
"Oh , God . Where's my wimple ?",fear
"When we first went there , [PERSON] , he could barely speak .",sadness
"To tell the truth , [PERSON] , tonight we're a little bit nervous .",fear
"Look , it was great to see you again , okay ? I just --",sadness
Who told you that ?,surprise
"Do you feel the ecstasy , [LOCATION] ?",joy
"Ah , there he is .",joy
"Because it is in love with her , clear .",joy
It was nice of your mother to let you come .,joy
Don't you want to go to [LOCATION] ?,surprise
Terrific !,joy
"You know , I still expect him to come home for dinner .",sadness
This is not my day .,sadness
"You really like her , [PERSON] ?",surprise
"I never thought I'd see the day . Will you move over June , I can't see my knockout of a granddaughter ?",sadness
"What am I doing here , [PERSON] ?",surprise
I'll go to the club car to get you something to eat .,joy
Figure out which one you are and call back .,anger
Snap out of it ! He took my [PERSON] !,anger
"What , do you think I consider it recreation ?",surprise
