test_case,input,status,primary_emotion,primary_confidence,sentiment,multi_label_emotions,error
Positive,I am very happy and satisfied with my work today.,PASS,joy,0.9586824774742126,"(True, {'text': 'happy satisfied work today', 'positive': 0.765, 'negative': 0.0, 'neutral': 0.235, 'compound': 0.7579, 'sentiment': 'Positive'})",joy,
Negative,I am extremely frustrated and unhappy with my workload.,PASS,sadness,0.7895607948303223,"(True, {'text': 'extremely frustrated unhappy workload', 'positive': 0.0, 'negative': 0.772, 'neutral': 0.228, 'compound': -0.7764, 'sentiment': 'Negative'})",sadness,
Neutral,The meeting is scheduled for tomorrow at 10 AM.,PASS,anger,0.4228781759738922,"(True, {'text': 'meeting scheduled tomorrow', 'positive': 0.0, 'negative': 0.0, 'neutral': 1.0, 'compound': 0.0, 'sentiment': 'Neutral'})",joy,
Mixed emotions,I am excited about the promotion but nervous about the new responsibilities.,PASS,fear,0.5245275497436523,"(True, {'text': 'excited promotion nervous new responsibility', 'positive': 0.32, 'negative': 0.28, 'neutral': 0.4, 'compound': 0.0772, 'sentiment': 'Positive'})",fear,
Very short,Happy.,PASS,joy,0.9673004150390625,"(True, {'text': 'happy', 'positive': 1.0, 'negative': 0.0, 'neutral': 0.0, 'compound': 0.5719, 'sentiment': 'Positive'})",joy,
Long text,"I have been working on this project for several weeks and although there have been many challenges, I am learning new skills, communicating with my colleagues, solving problems, meeting deadlines, and trying to maintain a healthy balance between my professional responsibilities and personal life.",PASS,anger,0.3448472023010254,"(True, {'text': 'working project several week although many challenge learning new skill communicating colleague solving problem meeting deadline trying maintain healthy balance professional responsibility personal life', 'positive': 0.22, 'negative': 0.093, 'neutral': 0.687, 'compound': 0.4019, 'sentiment': 'Positive'})",joy,
Informal language,"OMG this deadline is crazy lol, I'm so stressed rn.",PASS,anger,0.29699721932411194,"(True, {'text': 'omg deadline crazy lol stressed rn', 'positive': 0.264, 'negative': 0.453, 'neutral': 0.283, 'compound': -0.25, 'sentiment': 'Negative'})",anger,
Emoji,I got the promotion today! 😊🎉 I am really happy!,PASS,joy,0.9301417469978333,"(True, {'text': 'got promotion today really happy', 'positive': 0.5, 'negative': 0.0, 'neutral': 0.5, 'compound': 0.6115, 'sentiment': 'Positive'})",joy,
Ambiguous,"Everything is fine, I guess.",PASS,joy,0.633598268032074,"(True, {'text': 'everything fine guess', 'positive': 0.474, 'negative': 0.0, 'neutral': 0.526, 'compound': 0.2023, 'sentiment': 'Positive'})",joy,
Empty,,HANDLED,,,,,Input text is invalid: Text is empty or contains only spaces.
Invalid input,12345,HANDLED,,,,,Input text is invalid: Input must be text.
